time	V(vout)
Step Information: X=494.1  (Run: 6/6)
4.497898206994344e-003	4.149583e+002
4.497898231846152e-003	4.149583e+002
4.497898977400393e-003	4.149602e+002
4.497899772658250e-003	4.149623e+002
4.497901363173963e-003	4.149664e+002
4.497904544205390e-003	4.149746e+002
4.497910906268244e-003	4.149912e+002
4.497923630393951e-003	4.150243e+002
4.497949078645365e-003	4.150906e+002
4.497950644309221e-003	4.150947e+002
4.497952234824885e-003	4.150988e+002
4.497955415856212e-003	4.151071e+002
4.497961777918866e-003	4.151237e+002
4.497974651159796e-003	4.151571e+002
4.498000000000000e-003	4.152228e+002
4.500000000000000e-003	4.199983e+002
4.500025000000000e-003	4.200527e+002
4.500074999999999e-003	4.201397e+002
4.500150000000001e-003	4.201853e+002
4.500250000000000e-003	4.201452e+002
4.507750000000001e-003	4.148642e+002
4.507775000000000e-003	4.148467e+002
4.507825000000000e-003	4.148364e+002
4.507900000000000e-003	4.148825e+002
4.507900024414063e-003	4.148825e+002
4.507900756835938e-003	4.148844e+002
4.507901538085938e-003	4.148864e+002
4.507903100585938e-003	4.148905e+002
4.507906225585938e-003	4.148986e+002
4.507912475585938e-003	4.149149e+002
4.507924975585938e-003	4.149475e+002
